국문	영어
대장종류코드명	regstrKindCdNm
도로명대지위치	newPlatPlc
건물명	bldNm
특수지명	splotNm
블록	block
로트	lot
외필지수	bylotCnt
새주소도로코드	naRoadCd
새주소법정동코드	naBjdongCd
새주소지상지하코드	naUgrndCd
새주소본번	naMainBun
새주소부번	naSubBun
동명칭	dongNm
주부속구분코드	mainAtchGbCd
주부속구분코드명	mainAtchGbCdNm
대지면적(㎡)	platArea
건축면적(㎡)	archArea
건폐율(%)	bcRat
연면적(㎡)	totArea
용적률산정연면적(㎡)	vlRatEstmTotArea
용적률(%)	vlRat
구조코드	strctCd
구조코드명	strctCdNm
기타구조	etcStrct
주용도코드	mainPurpsCd
내진설계적용여부	rserthqkDsgnApplyYn
내진능력	rserthqkAblty
대장구분코드	regstrGbCd
대장구분코드명	regstrGbCdNm
대장종류코드	regstrKindCd
대장종류코드명	regstrKindCdNm
도로명대지위치	newPlatPlc
건물명	bldNm
특수지명	splotNm
블록	block
로트	lot
새주소도로코드	naRoadCd
새주소법정동코드	naBjdongCd
새주소지상지하코드	naUgrndCd
새주소본번	naMainBun
새주소부번	naSubBun
동명칭	dongNm
호명칭	hoNm
층구분코드	flrGbCd
층구분코드명	flrGbCdNm
층번호	flrNo
층번호명	flrNoNm
전유공용구분코드	exposPubuseGbCd
전유공용구분코드명	exposPubuseGbCdNm
주부속구분코드	mainAtchGbCd
주부속구분코드명	mainAtchGbCdNm
구조코드	strctCd
구조코드명	strctCdNm
기타구조	etcStrct
주용도코드	mainPurpsCd
주용도코드명	mainPurpsCdNm
기타용도	etcPurps
면적(㎡)	area
생성일자	crtnDay
null	Items
순번	rnum
대지위치	platPlc
시군구코드	sigunguCd
법정동코드	bjdongCd
대지구분코드	platGbCd
번	bun
지	ji
관리건축물대장PK	mgmBldrgstPk
고유번호	pnu
법정동코드	ldCode
법정동명	ldCodeNm
특수지구분코드	regstrSeCode
특수지구분명	regstrSeCodeNm
지번	mnnmSlno
기준년도	stdrYear
기준월	stdrMt
공동주택코드	aphusCode
공동주택구분코드	aphusSeCode
공동주택구분명	aphusSeCodeNm
특수지명	spclLandNm
공동주택명	aphusNm
전용면적(㎡)	prvuseAr
공시가격(원)	pblntfPc
데이터기준일자	lastUpdtDt
